Versione tensorfolow: 2.1.0

Adam-HD, alpha_0=0.1, beta= 10^-4 (MNIST).
Epoch 1, Loss: 1.46457, Accuracy: 86.79, Test Loss: 0.72795, Test Accuracy: 90.55, Time:   23.7s
Epoch 2, Loss: 0.50671, Accuracy: 91.43, Test Loss: 0.43158, Test Accuracy: 91.72, Time:   23.5s
Epoch 3, Loss: 0.3497, Accuracy: 92.84, Test Loss: 0.40075, Test Accuracy: 91.9, Time:   25.0s
Epoch 4, Loss: 0.32728, Accuracy: 92.97, Test Loss: 0.39083, Test Accuracy: 91.77, Time:   24.4s
Epoch 5, Loss: 0.31615, Accuracy: 92.82, Test Loss: 0.36724, Test Accuracy: 91.91, Time:   25.1s
Epoch 6, Loss: 0.30227, Accuracy: 92.9, Test Loss: 0.35917, Test Accuracy: 92.03, Time:   25.3s
Epoch 7, Loss: 0.28983, Accuracy: 92.97, Test Loss: 0.34577, Test Accuracy: 92.04, Time:   25.3s
Epoch 8, Loss: 0.28018, Accuracy: 93.01, Test Loss: 0.35093, Test Accuracy: 91.73, Time:   25.1s
Epoch 9, Loss: 0.27339, Accuracy: 93.08, Test Loss: 0.33385, Test Accuracy: 92.1, Time:   24.6s
Epoch 10, Loss: 0.27238, Accuracy: 92.95, Test Loss: 0.33079, Test Accuracy: 92.01, Time:   23.6s
Epoch 11, Loss: 0.27009, Accuracy: 93.0, Test Loss: 0.34599, Test Accuracy: 91.61, Time:   23.0s
Epoch 12, Loss: 0.264, Accuracy: 93.05, Test Loss: 0.31926, Test Accuracy: 92.02, Time:   24.3s
Epoch 13, Loss: 0.25571, Accuracy: 93.29, Test Loss: 0.31451, Test Accuracy: 92.03, Time:   22.5s
Epoch 14, Loss: 0.25823, Accuracy: 93.11, Test Loss: 0.30282, Test Accuracy: 92.14, Time:   23.3s
Epoch 15, Loss: 0.25774, Accuracy: 93.01, Test Loss: 0.30477, Test Accuracy: 92.12, Time:   23.7s
Epoch 16, Loss: 0.25634, Accuracy: 93.01, Test Loss: 0.30151, Test Accuracy: 91.97, Time:   20.1s
Epoch 17, Loss: 0.24537, Accuracy: 93.34, Test Loss: 0.29403, Test Accuracy: 92.29, Time:   23.4s
Epoch 18, Loss: 0.24804, Accuracy: 93.17, Test Loss: 0.29731, Test Accuracy: 92.16, Time:   23.2s
Epoch 19, Loss: 0.25477, Accuracy: 92.98, Test Loss: 0.29649, Test Accuracy: 92.18, Time:   24.5s
Epoch 20, Loss: 0.2468, Accuracy: 93.09, Test Loss: 0.32946, Test Accuracy: 91.03, Time:   25.3s
Epoch 21, Loss: 0.25327, Accuracy: 92.88, Test Loss: 0.29071, Test Accuracy: 92.38, Time:   24.3s
Epoch 22, Loss: 0.24078, Accuracy: 93.46, Test Loss: 0.29216, Test Accuracy: 91.98, Time:   23.9s
