[4;33mReloaded modules[24m: Models, CustomOptimizers[0m
Versione tensorfolow: 2.1.0

SGD-HD, alpha_0=0.1, beta= 0.0001 (MNIST).
Epoch 1, Loss: 0.37107, Accuracy: 89.22, Test Loss: 0.2929, Test Accuracy: 91.57, Time:   5.2s
Epoch 2, Loss: 0.30077, Accuracy: 91.4, Test Loss: 0.27926, Test Accuracy: 91.96, Time:   5.2s
Epoch 3, Loss: 0.28759, Accuracy: 91.82, Test Loss: 0.28079, Test Accuracy: 91.96, Time:   5.3s
Epoch 4, Loss: 0.28095, Accuracy: 92.07, Test Loss: 0.27474, Test Accuracy: 92.05, Time:   5.3s
Epoch 5, Loss: 0.2759, Accuracy: 92.21, Test Loss: 0.28087, Test Accuracy: 92.18, Time:   5.6s
Epoch 6, Loss: 0.27157, Accuracy: 92.37, Test Loss: 0.27468, Test Accuracy: 91.95, Time:   5.8s
Epoch 7, Loss: 0.26835, Accuracy: 92.47, Test Loss: 0.26883, Test Accuracy: 92.38, Time:   5.8s
Epoch 8, Loss: 0.26602, Accuracy: 92.62, Test Loss: 0.28201, Test Accuracy: 92.16, Time:   5.9s
Epoch 9, Loss: 0.26426, Accuracy: 92.61, Test Loss: 0.27582, Test Accuracy: 92.15, Time:   6.1s
Epoch 10, Loss: 0.26164, Accuracy: 92.74, Test Loss: 0.271, Test Accuracy: 92.27, Time:   7.8s
Epoch 11, Loss: 0.26019, Accuracy: 92.79, Test Loss: 0.26732, Test Accuracy: 92.52, Time:   8.8s
Epoch 12, Loss: 0.25893, Accuracy: 92.77, Test Loss: 0.2721, Test Accuracy: 92.03, Time:   7.8s
Epoch 13, Loss: 0.25753, Accuracy: 92.85, Test Loss: 0.27532, Test Accuracy: 92.34, Time:   7.9s
Epoch 14, Loss: 0.2562, Accuracy: 92.84, Test Loss: 0.2697, Test Accuracy: 92.3, Time:   8.7s
Epoch 15, Loss: 0.25479, Accuracy: 92.91, Test Loss: 0.26725, Test Accuracy: 92.38, Time:   10.3s
Epoch 16, Loss: 0.25429, Accuracy: 92.94, Test Loss: 0.26581, Test Accuracy: 92.55, Time:   9.1s
Epoch 17, Loss: 0.25352, Accuracy: 92.99, Test Loss: 0.2672, Test Accuracy: 92.44, Time:   8.9s
Epoch 18, Loss: 0.25225, Accuracy: 93.0, Test Loss: 0.26674, Test Accuracy: 92.43, Time:   7.5s
Epoch 19, Loss: 0.25178, Accuracy: 93.05, Test Loss: 0.27091, Test Accuracy: 92.55, Time:   7.3s
Epoch 20, Loss: 0.25074, Accuracy: 93.09, Test Loss: 0.26746, Test Accuracy: 92.51, Time:   7.1s
Epoch 21, Loss: 0.2497, Accuracy: 93.09, Test Loss: 0.26673, Test Accuracy: 92.57, Time:   7.2s
Epoch 22, Loss: 0.24898, Accuracy: 93.09, Test Loss: 0.26965, Test Accuracy: 92.4, Time:   7.2s
Epoch 23, Loss: 0.24847, Accuracy: 93.16, Test Loss: 0.27078, Test Accuracy: 92.52, Time:   7.1s
Epoch 24, Loss: 0.24779, Accuracy: 93.13, Test Loss: 0.26578, Test Accuracy: 92.57, Time:   7.0s
Epoch 25, Loss: 0.24701, Accuracy: 93.16, Test Loss: 0.26573, Test Accuracy: 92.5, Time:   6.8s
Epoch 26, Loss: 0.24616, Accuracy: 93.2, Test Loss: 0.26633, Test Accuracy: 92.46, Time:   6.6s
Epoch 27, Loss: 0.24634, Accuracy: 93.19, Test Loss: 0.26458, Test Accuracy: 92.64, Time:   7.4s
Epoch 28, Loss: 0.24564, Accuracy: 93.16, Test Loss: 0.26558, Test Accuracy: 92.58, Time:   7.2s
Epoch 29, Loss: 0.24551, Accuracy: 93.19, Test Loss: 0.26741, Test Accuracy: 92.7, Time:   6.9s
Epoch 30, Loss: 0.24496, Accuracy: 93.32, Test Loss: 0.26625, Test Accuracy: 92.59, Time:   7.0s
Epoch 31, Loss: 0.24442, Accuracy: 93.28, Test Loss: 0.26585, Test Accuracy: 92.54, Time:   7.2s
Epoch 32, Loss: 0.24407, Accuracy: 93.26, Test Loss: 0.26688, Test Accuracy: 92.44, Time:   9.5s
Epoch 33, Loss: 0.24396, Accuracy: 93.29, Test Loss: 0.267, Test Accuracy: 92.41, Time:   7.9s
Epoch 34, Loss: 0.2435, Accuracy: 93.25, Test Loss: 0.26721, Test Accuracy: 92.59, Time:   7.3s
Epoch 35, Loss: 0.24286, Accuracy: 93.25, Test Loss: 0.26526, Test Accuracy: 92.65, Time:   8.1s
Epoch 36, Loss: 0.24281, Accuracy: 93.31, Test Loss: 0.26618, Test Accuracy: 92.46, Time:   8.4s
Epoch 37, Loss: 0.24251, Accuracy: 93.32, Test Loss: 0.26497, Test Accuracy: 92.47, Time:   7.2s
Epoch 38, Loss: 0.24184, Accuracy: 93.33, Test Loss: 0.26705, Test Accuracy: 92.51, Time:   7.1s
Epoch 39, Loss: 0.24182, Accuracy: 93.36, Test Loss: 0.26583, Test Accuracy: 92.56, Time:   7.0s
Epoch 40, Loss: 0.2415, Accuracy: 93.33, Test Loss: 0.26583, Test Accuracy: 92.64, Time:   7.0s
Epoch 41, Loss: 0.24146, Accuracy: 93.37, Test Loss: 0.26622, Test Accuracy: 92.59, Time:   6.9s
Epoch 42, Loss: 0.2411, Accuracy: 93.37, Test Loss: 0.26658, Test Accuracy: 92.44, Time:   6.9s
Epoch 43, Loss: 0.24087, Accuracy: 93.35, Test Loss: 0.26463, Test Accuracy: 92.65, Time:   7.0s
Epoch 44, Loss: 0.24047, Accuracy: 93.4, Test Loss: 0.26407, Test Accuracy: 92.61, Time:   7.0s
Epoch 45, Loss: 0.24041, Accuracy: 93.39, Test Loss: 0.26717, Test Accuracy: 92.6, Time:   6.8s
Epoch 46, Loss: 0.24019, Accuracy: 93.4, Test Loss: 0.26727, Test Accuracy: 92.63, Time:   6.8s
Epoch 47, Loss: 0.24011, Accuracy: 93.35, Test Loss: 0.267, Test Accuracy: 92.45, Time:   7.0s
Epoch 48, Loss: 0.23942, Accuracy: 93.38, Test Loss: 0.26359, Test Accuracy: 92.67, Time:   7.1s
Epoch 49, Loss: 0.23948, Accuracy: 93.37, Test Loss: 0.26516, Test Accuracy: 92.57, Time:   7.2s
Epoch 50, Loss: 0.23935, Accuracy: 93.4, Test Loss: 0.26473, Test Accuracy: 92.56, Time:   6.8s

SGD, alpha=0.1, (MNIST).
Epoch 1, Loss: 0.37145, Accuracy: 89.16, Test Loss: 0.29339, Test Accuracy: 91.52, Time:   6.0s
Epoch 2, Loss: 0.30253, Accuracy: 91.36, Test Loss: 0.28101, Test Accuracy: 91.89, Time:   6.0s
Epoch 3, Loss: 0.28995, Accuracy: 91.73, Test Loss: 0.28384, Test Accuracy: 91.83, Time:   6.1s
Epoch 4, Loss: 0.28419, Accuracy: 91.95, Test Loss: 0.27745, Test Accuracy: 91.86, Time:   6.0s
Epoch 5, Loss: 0.27982, Accuracy: 92.07, Test Loss: 0.28451, Test Accuracy: 92.09, Time:   6.0s
Epoch 6, Loss: 0.27583, Accuracy: 92.3, Test Loss: 0.27874, Test Accuracy: 92.02, Time:   7.6s
Epoch 7, Loss: 0.27277, Accuracy: 92.3, Test Loss: 0.27538, Test Accuracy: 92.25, Time:   7.2s
Epoch 8, Loss: 0.2708, Accuracy: 92.39, Test Loss: 0.29682, Test Accuracy: 91.75, Time:   7.0s
